2015-07-27,71.379997,71.650002,71.010002,71.379997,6166500,71.379997
2015-07-24,72.529999,72.559998,71.50,71.580002,5788500,71.580002
2015-07-23,73.07,73.220001,72.419998,72.510002,4245300,72.510002
2015-07-22,72.779999,73.82,72.779999,73.160004,6960000,73.160004
2015-07-21,73.099998,73.290001,72.529999,72.739998,6380800,72.739998
2015-07-20,73.349998,73.440002,73.059998,73.099998,5074700,73.099998
2015-07-17,73.739998,74.07,73.309998,73.389999,5634200,73.389999
2015-07-16,73.970001,74.139999,73.760002,73.830002,5217000,73.830002
2015-07-15,73.589996,73.900002,73.190002,73.650002,4519300,73.650002
2015-07-14,73.980003,74.089996,73.480003,73.790001,5466400,73.790001
2015-07-13,73.510002,74.110001,73.510002,73.879997,6046600,73.879997
2015-07-10,73.080002,73.550003,73.080002,73.120003,5566600,73.120003
2015-07-09,73.669998,73.730003,72.709999,72.779999,8670500,72.779999
2015-07-08,73.300003,73.589996,72.900002,73.059998,7761300,73.059998
2015-07-07,72.660004,73.860001,72.00,73.790001,12310600,73.790001
2015-07-06,71.379997,72.690002,71.379997,72.529999,10500600,72.529999
2015-07-02,72.019997,72.559998,71.660004,71.860001,6561400,71.860001
2015-07-01,71.599998,71.949997,70.360001,71.879997,10724800,71.879997
